filename,test error,training loss,mutual information,sample entropy,experts usage,expert error,gate error,total error
cifar100_scratch_100_20_models.pt,0.46025389432907104,0.982837975025177,2.0279064178466797,0.6443796634674073,2.6208391189575195,1266,3372,4638
cifar100_scratch_100_20_models.pt,0.4600585699081421,0.9145520925521851,2.451169490814209,0.6511682987213134,2.423980236053467,1275,3301,4576
cifar100_scratch_100_20_models.pt,0.4644531011581421,1.004650592803955,1.7846808433532715,0.6050321102142334,2.417210340499878,1260,3406,4666
cifar100_scratch_100_20_models.pt,0.47890621423721313,0.9826604127883911,1.9201717376708984,0.6359409332275391,2.308366298675537,1299,3455,4754
cifar100_scratch_100_20_models.pt,0.4458984136581421,0.8737698793411255,2.802924156188965,0.6888324737548828,3.2147796154022217,1264,3212,4476
cifar100_pretrained_gate_scratch_same_wts_100_20_models.pt,0.4697265625,0.9766831994056702,2.093438148498535,0.6401829242706298,2.7904860973358154,1227,3463,4690
cifar100_pretrained_gate_scratch_same_wts_100_20_models.pt,0.46240234375,0.9046876430511475,2.508113384246826,0.6583152294158936,2.724219799041748,1269,3346,4615
cifar100_pretrained_gate_scratch_same_wts_100_20_models.pt,0.47626954317092896,1.0241057872772217,1.8376007080078125,0.6030104160308838,2.6013453006744385,1304,3453,4757
cifar100_pretrained_gate_scratch_same_wts_100_20_models.pt,0.47441405057907104,0.9919853210449219,1.9904651641845703,0.637031078338623,2.8358266353607178,1232,3521,4753
cifar100_pretrained_gate_scratch_same_wts_100_20_models.pt,0.44765621423721313,0.8591408133506775,2.897592067718506,0.6916576385498047,3.269258975982666,1236,3228,4464
cifar100_pretrained_gate_scratch_rand_wts_100_20_models.pt,0.592089831829071,1.9913057088851929,2.398521900177002,0.6446320056915283,2.3104403018951416,1383,4530,5913
cifar100_pretrained_gate_scratch_rand_wts_100_20_models.pt,0.5995117425918579,1.98673415184021,2.762317657470703,0.6575699806213379,3.266312837600708,1502,4442,5944
cifar100_pretrained_gate_scratch_rand_wts_100_20_models.pt,0.6525390148162842,2.4855058193206787,2.306591033935547,0.6002720832824707,1.9106552600860596,1588,4944,6532
cifar100_pretrained_gate_scratch_rand_wts_100_20_models.pt,0.648730456829071,2.286863088607788,2.4114131927490234,0.6368422031402587,2.274137258529663,1575,4933,6508
cifar100_pretrained_gate_scratch_rand_wts_100_20_models.pt,0.6449218988418579,2.5849454402923584,3.2701077461242676,0.7044236183166503,3.4911651611328125,1792,4602,6394
cifar100_pretrained_gate_prechosen_100_20_models.pt,0.4532226324081421,0.6441308856010437,4.3160481452941895,0.6197491645812988,3.836165189743042,1841,2635,4476
cifar100_pretrained_gate_prechosen_same_wts_100_20_models.pt,0.4092773199081421,0.5501371622085571,4.316538333892822,0.6184900283813477,3.721006393432617,1500,2646,4146
cifar100_pretrained_gate_prechosen_rand_wts_100_20_models.pt,0.41914063692092896,0.5503097176551819,4.31650972366333,0.6226839542388916,3.9332962036132812,1516,2626,4142
cifar100_pretrained_gate_prechosen_best_100_20_models.pt,0.45722657442092896,0.6379381418228149,4.3171586990356445,0.6282954216003418,3.636225461959839,1845,2687,4532
cifar100_pretrained_gate_prechosen_best_same_wts_100_20_models.pt,0.41845703125,0.5550636649131775,4.31551456451416,0.6249126434326172,3.8830525875091553,1490,2690,4180
cifar100_pretrained_gate_prechosen_best_rand_wts_100_20_models.pt,0.42646485567092896,0.5506079196929932,4.314694881439209,0.6256450176239013,3.897099018096924,1556,2691,4247
cifar100_pretrained_gate_prechosen_unfixed_100_20_models.pt,0.41132813692092896,0.42690199613571167,4.212954521179199,0.5806169986724854,3.6970839500427246,1518,2649,4167
